degree,specialization,cgpa,academic_performance,Python,Java,C_CPP,SQL,HTML_CSS,JavaScript,Excel,Power_BI,Statistics,Machine_Learning,Deep_Learning,Cloud_Computing,Networking,Cybersecurity,Git_GitHub,Communication,Problem_Solving,Teamwork,Leadership,Analytical_Thinking,interests,career_label
B.Sc Information Technology,Software Engineering,6.63,Second Class,2,4,4,3,2,3,1,1,2,0,0,3,0,1,4,3,5,4,4,4,Software Development; Web Development; Machine Learning,Software Developer
B.Sc Information Technology,Software Engineering,9.06,Distinction,4,4,2,3,2,4,0,1,3,1,1,3,2,2,3,3,5,4,3,4,Software Development; Artificial Intelligence,Software Developer
B.Sc Information Technology,Software Engineering,7.16,First Class,1,2,1,5,1,1,3,1,2,1,1,3,3,3,4,4,4,3,2,4,Database Management; Machine Learning,Database Administrator
B.Sc Information Technology,Information Technology,7.18,First Class,4,0,0,5,1,0,4,3,4,0,0,2,1,1,2,4,3,3,1,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Web Technologies,6.29,Second Class,3,2,0,1,1,2,0,0,1,0,0,5,4,4,4,3,4,4,3,4,Cloud Computing; Artificial Intelligence,Cloud Engineer
B.Sc Information Technology,Information Technology,7.15,First Class,0,2,0,5,1,2,3,2,1,0,0,2,1,4,3,2,3,3,3,4,Database Management; Software Development,Database Administrator
B.Sc Information Technology,Web Technologies,7.97,First Class,5,3,2,3,2,0,2,0,3,4,5,3,3,2,4,3,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Information Technology,Software Engineering,8.3,First Class,3,2,2,1,1,2,1,0,0,0,0,5,4,2,4,2,5,4,4,4,Cloud Computing; Database Management; Artificial Intelligence,Cloud Engineer
B.Sc Information Technology,Cloud & Security,8.0,First Class,3,5,4,1,2,1,2,2,1,0,0,2,2,2,4,2,5,5,3,5,Software Development,Software Developer
B.Sc Computer Science,Web Technologies,8.35,First Class,2,1,0,5,0,0,3,2,0,1,0,3,3,3,3,3,4,2,3,5,Database Management; Cybersecurity,Database Administrator
B.Sc Information Technology,Information Technology,6.5,Second Class,5,0,1,4,1,1,3,2,4,5,3,4,1,1,5,3,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Software Engineering,6.98,Second Class,2,2,0,5,1,1,3,2,2,1,0,3,4,3,3,3,4,3,2,5,Database Management,Database Administrator
B.Sc Information Technology,Cloud & Security,5.76,Pass,4,4,4,4,1,3,1,1,2,0,0,1,3,2,5,3,5,4,4,5,Software Development,Software Developer
B.Sc Information Technology,Cloud & Security,7.79,First Class,4,1,3,4,1,3,2,2,4,5,3,4,2,2,3,3,5,4,2,5,Machine Learning; Artificial Intelligence; Data Science; Software Development; Cybersecurity,Machine Learning Engineer
B.Sc Information Technology,Software Engineering,8.36,First Class,5,4,3,2,1,1,1,3,3,5,5,3,2,0,4,3,5,4,2,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity,Machine Learning Engineer
B.Sc Information Technology,Software Engineering,7.13,First Class,3,5,3,3,3,4,2,1,1,0,0,2,1,2,4,3,5,4,4,3,Software Development; Web Development; Database Management,Software Developer
B.Sc Information Technology,Software Engineering,8.19,First Class,1,2,1,4,1,2,3,2,2,1,0,4,1,4,4,4,4,4,3,4,Database Management,Database Administrator
B.Sc Information Technology,Information Technology,6.68,Second Class,2,2,1,5,0,1,4,1,3,0,0,3,2,1,3,2,3,2,2,3,Database Management; Machine Learning,Database Administrator
B.Sc Information Technology,Information Technology,7.04,First Class,4,3,3,4,1,2,0,1,2,0,0,3,5,5,4,2,5,3,2,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Cloud & Security,6.42,Second Class,3,2,3,3,2,2,1,0,1,1,0,2,5,3,2,4,5,3,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Cloud & Security,6.26,Second Class,3,2,1,4,0,2,3,2,1,1,1,2,3,4,3,2,4,2,4,4,Database Management; Cybersecurity; Software Development,Database Administrator
B.Sc Information Technology,Information Technology,7.55,First Class,1,2,1,5,1,1,4,2,1,1,0,3,2,1,3,3,3,3,2,4,Database Management; Data Science; Cloud Computing,Database Administrator
B.Sc Information Technology,Web Technologies,8.37,First Class,3,2,1,3,5,4,1,1,0,1,0,3,1,2,3,4,3,4,2,3,Web Development; Software Development; Cybersecurity; Artificial Intelligence,Web Developer
B.Sc Information Technology,Data Science,6.56,Second Class,3,1,1,4,0,1,3,5,4,2,0,2,1,1,1,4,5,4,1,5,Data Analysis; Database Management; Cybersecurity,Data Analyst
B.Sc Information Technology,Information Technology,8.6,Distinction,4,1,1,5,0,0,3,3,5,5,5,3,1,1,2,5,5,2,3,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
B.Sc Information Technology,Software Engineering,8.08,First Class,1,2,1,5,0,2,4,2,2,1,0,3,3,3,2,3,4,3,3,4,Database Management; Software Development; Cloud Computing,Database Administrator
B.Sc Computer Science,Web Technologies,6.93,Second Class,5,2,1,4,2,1,4,3,5,4,4,4,0,0,4,4,5,4,3,4,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
B.Sc Information Technology,Cloud & Security,6.37,Second Class,2,2,1,5,0,0,3,3,1,0,0,3,3,2,2,3,4,4,3,4,Database Management; Cloud Computing; Data Science,Database Administrator
B.Sc Information Technology,Data Science,6.28,Second Class,4,3,2,3,3,2,0,2,0,0,0,3,5,5,3,3,5,3,4,5,Cybersecurity; Cloud Computing; Data Science,Cybersecurity Analyst
B.Sc Information Technology,Software Engineering,8.0,First Class,3,1,2,3,2,0,0,2,2,1,0,2,5,3,4,3,5,3,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Computer Science,Cloud & Security,7.27,First Class,4,2,0,4,1,1,3,4,4,2,0,2,0,1,2,4,3,4,2,5,Data Analysis; Database Management; Artificial Intelligence; Cybersecurity,Data Analyst
B.Sc Information Technology,Information Technology,8.49,First Class,5,2,0,5,2,0,3,3,5,4,4,4,1,0,4,4,5,3,2,4,Data Science; Artificial Intelligence; Machine Learning; Web Development; Software Development,Data Scientist
B.Sc Computer Science,Cloud & Security,8.23,First Class,3,1,2,1,1,1,2,1,1,0,0,5,3,4,4,3,4,5,2,3,Cloud Computing,Cloud Engineer
B.Sc Computer Science,Web Technologies,8.56,Distinction,3,1,1,4,0,1,2,3,5,5,3,3,1,1,4,4,5,2,3,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
B.Sc Information Technology,Data Science,6.98,Second Class,2,2,1,5,1,2,3,2,3,0,1,3,4,2,3,4,4,3,3,4,Database Management; Machine Learning,Database Administrator
B.Sc Information Technology,Data Science,7.79,First Class,4,3,0,3,0,1,3,3,5,4,5,4,0,1,4,4,5,3,3,4,Data Science; Artificial Intelligence; Machine Learning; Software Development,Data Scientist
B.Sc Information Technology,Web Technologies,7.97,First Class,3,2,1,2,2,2,0,1,0,1,1,4,4,2,5,3,4,4,3,4,Cloud Computing; Artificial Intelligence,Cloud Engineer
BCA,Cloud & Security,7.15,First Class,4,2,3,4,0,0,3,2,3,5,5,4,3,2,4,4,5,5,3,5,Machine Learning; Artificial Intelligence; Data Science; Software Development; Web Development,Machine Learning Engineer
B.Sc Computer Science,Software Engineering,7.42,First Class,4,1,1,3,0,2,2,5,5,1,0,1,1,0,1,4,4,4,3,5,Data Analysis; Database Management; Web Development,Data Analyst
B.Sc Information Technology,Cloud & Security,8.74,Distinction,5,1,3,4,1,2,2,1,4,3,4,4,2,1,4,3,5,4,2,5,Machine Learning; Artificial Intelligence; Data Science; Software Development,Machine Learning Engineer
B.Sc Information Technology,Information Technology,6.75,Second Class,1,1,1,4,1,1,3,4,3,1,0,1,2,0,2,4,3,2,2,5,Data Analysis; Database Management; Cloud Computing; Software Development,Data Analyst
B.Sc Information Technology,Data Science,8.31,First Class,3,2,1,3,5,5,0,2,1,1,0,0,3,2,4,2,4,3,2,3,Web Development; Software Development,Web Developer
BCA,Data Science,8.25,First Class,0,0,0,4,1,0,4,2,2,1,0,2,3,3,3,3,5,2,3,4,Database Management; Software Development,Database Administrator
B.Sc Information Technology,Software Engineering,6.7,Second Class,5,2,0,4,1,1,4,3,5,5,4,2,1,1,3,4,5,3,2,5,Data Science; Artificial Intelligence; Machine Learning; Web Development,Data Scientist
B.Sc Information Technology,Web Technologies,7.68,First Class,4,3,0,3,5,4,1,1,1,1,0,1,2,2,5,3,5,5,2,3,Web Development; Software Development; Cybersecurity; Database Management,Web Developer
B.Sc Information Technology,Cloud & Security,6.57,Second Class,3,0,2,3,2,2,1,1,3,1,0,1,5,5,3,3,5,2,3,5,Cybersecurity; Cloud Computing; Machine Learning,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,6.88,Second Class,2,2,1,5,2,2,4,1,2,0,1,2,3,2,2,3,4,2,3,5,Database Management; Data Analysis; Cybersecurity,Database Administrator
B.Sc Information Technology,Web Technologies,8.53,Distinction,3,2,1,4,1,2,2,1,5,3,5,2,1,1,3,4,4,3,2,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity; Web Development,Data Scientist
B.Sc Information Technology,Data Science,7.2,First Class,5,3,0,4,0,0,4,3,5,3,4,3,1,1,3,4,5,2,2,4,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Information Technology,6.4,Second Class,3,1,1,3,4,5,0,1,2,1,1,2,2,3,2,2,4,4,2,2,Web Development; Software Development; Data Analysis; Cloud Computing,Web Developer
B.Sc Information Technology,Data Science,8.27,First Class,5,1,2,3,1,1,3,3,5,5,5,1,2,1,3,3,4,2,3,5,Data Science; Artificial Intelligence; Machine Learning; Data Analysis,Data Scientist
B.Sc Information Technology,Data Science,8.84,Distinction,5,3,2,4,1,1,2,1,4,4,5,4,0,1,4,3,5,3,3,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity,Machine Learning Engineer
B.Sc Information Technology,Cloud & Security,5.5,Pass,3,2,0,4,1,2,5,4,4,2,0,1,0,0,2,3,5,2,2,5,Data Analysis; Database Management; Artificial Intelligence,Data Analyst
B.Sc Computer Science,Information Technology,8.17,First Class,4,1,0,2,5,3,0,0,1,1,0,3,3,1,4,3,4,4,2,3,Web Development; Software Development; Cybersecurity,Web Developer
B.Sc Information Technology,Cloud & Security,6.09,Second Class,3,0,0,2,1,2,1,1,1,1,0,5,4,3,4,2,3,5,4,4,Cloud Computing; Web Development,Cloud Engineer
B.Sc Information Technology,Data Science,7.81,First Class,3,2,4,2,2,0,1,1,2,2,0,3,5,5,4,4,5,3,3,5,Cybersecurity; Cloud Computing; Database Management,Cybersecurity Analyst
B.Sc Information Technology,Cloud & Security,7.36,First Class,3,1,3,2,0,1,1,0,3,1,0,3,5,4,2,3,5,2,3,5,Cybersecurity; Cloud Computing; Web Development,Cybersecurity Analyst
B.Sc Information Technology,Data Science,7.33,First Class,1,1,1,2,1,2,2,1,1,0,0,5,4,3,3,4,5,4,4,5,Cloud Computing; Web Development; Data Analysis,Cloud Engineer
B.Sc Computer Science,Cloud & Security,6.62,Second Class,5,1,2,5,1,0,3,3,5,4,4,3,1,1,4,4,4,3,2,5,Data Science; Artificial Intelligence; Machine Learning; Database Management,Data Scientist
B.Sc Information Technology,Web Technologies,7.65,First Class,4,2,1,5,1,1,2,3,5,4,5,2,1,1,4,4,4,4,3,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity; Database Management,Data Scientist
B.Sc Information Technology,Data Science,7.36,First Class,3,0,1,5,0,1,2,1,1,1,0,3,2,3,4,3,4,2,4,3,Database Management,Database Administrator
B.Sc Information Technology,Information Technology,7.78,First Class,2,3,0,2,1,2,1,0,1,1,0,5,4,3,4,3,4,4,4,4,Cloud Computing; Machine Learning,Cloud Engineer
B.Sc Information Technology,Software Engineering,6.99,Second Class,5,1,1,4,1,2,2,3,5,5,3,3,1,0,4,4,5,4,3,5,Data Science; Artificial Intelligence; Machine Learning; Database Management,Data Scientist
B.Sc Information Technology,Software Engineering,6.49,Second Class,5,4,3,3,0,2,1,2,5,5,3,5,2,1,4,3,5,3,2,5,Machine Learning; Artificial Intelligence; Data Science; Cloud Computing; Database Management,Machine Learning Engineer
B.Sc Computer Science,Web Technologies,7.49,First Class,4,3,3,5,0,2,1,2,3,5,4,4,2,3,4,2,4,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity; Software Development,Machine Learning Engineer
B.Sc Information Technology,Web Technologies,7.26,First Class,3,2,1,1,1,3,2,1,2,2,0,5,4,4,4,4,3,3,3,3,Cloud Computing; Software Development; Web Development,Cloud Engineer
B.Sc Information Technology,Information Technology,6.96,Second Class,3,3,2,3,1,1,3,2,2,1,0,2,1,3,2,3,4,4,4,4,Database Management,Database Administrator
B.Sc Information Technology,Data Science,8.01,First Class,4,4,5,3,2,4,1,1,1,0,0,2,2,2,4,3,4,5,4,5,Software Development; Cybersecurity,Software Developer
B.Sc Information Technology,Cloud & Security,5.5,Pass,3,3,1,3,4,5,1,2,1,1,0,1,2,3,3,2,4,4,2,3,Web Development; Software Development; Cybersecurity,Web Developer
B.Sc Information Technology,Web Technologies,7.81,First Class,1,1,1,5,2,2,3,0,2,1,0,3,4,4,2,3,5,4,3,4,Database Management; Web Development,Database Administrator
B.Sc Information Technology,Information Technology,6.96,Second Class,5,4,4,4,1,3,0,1,1,2,0,2,3,3,4,3,4,3,3,3,Software Development; Database Management,Software Developer
B.Sc Information Technology,Web Technologies,8.47,First Class,5,2,2,4,0,1,2,3,4,5,5,2,0,0,4,4,5,2,3,5,Data Science; Artificial Intelligence; Machine Learning; Software Development,Data Scientist
B.Sc Information Technology,Software Engineering,7.23,First Class,4,1,0,1,3,3,1,1,1,1,0,2,2,2,2,4,4,4,2,3,Web Development; Software Development,Web Developer
B.Sc Information Technology,Cloud & Security,7.28,First Class,4,4,3,3,2,3,1,0,1,1,0,3,2,2,4,2,5,4,2,4,Software Development; Database Management; Cybersecurity,Software Developer
B.Sc Information Technology,Information Technology,7.86,First Class,3,2,0,3,3,4,0,1,0,0,0,0,2,2,5,2,4,4,2,3,Web Development; Software Development; Data Analysis,Web Developer
B.Sc Information Technology,Web Technologies,6.91,Second Class,2,0,0,2,2,1,0,1,2,0,1,5,5,2,5,3,5,4,3,5,Cloud Computing; Machine Learning,Cloud Engineer
B.Sc Information Technology,Cloud & Security,7.43,First Class,3,3,2,2,5,4,1,1,1,1,0,1,1,2,3,3,4,3,2,2,Web Development; Software Development; Data Science; Machine Learning,Web Developer
BCA,Software Engineering,7.51,First Class,3,2,1,3,5,5,1,2,1,0,0,2,2,2,4,3,3,3,2,3,Web Development; Software Development; Artificial Intelligence,Web Developer
B.Sc Information Technology,Cloud & Security,7.01,First Class,3,2,4,3,2,0,0,1,3,1,0,4,4,4,3,3,5,2,3,5,Cybersecurity; Cloud Computing; Artificial Intelligence,Cybersecurity Analyst
B.Sc Computer Science,Data Science,8.09,First Class,3,2,1,2,1,2,0,1,0,1,0,5,4,3,3,3,5,5,3,4,Cloud Computing,Cloud Engineer
B.Sc Information Technology,Data Science,8.19,First Class,2,2,1,4,1,0,2,1,2,0,0,3,3,4,2,4,4,4,3,4,Database Management,Database Administrator
B.Sc Information Technology,Cloud & Security,7.5,First Class,5,3,1,4,1,1,2,3,4,5,5,3,1,0,2,5,4,3,4,5,Data Science; Artificial Intelligence; Machine Learning; Software Development,Data Scientist
B.Sc Computer Science,Data Science,7.77,First Class,2,0,0,3,0,1,3,4,3,3,0,2,1,2,1,5,4,3,2,5,Data Analysis; Database Management; Web Development,Data Analyst
B.Sc Information Technology,Data Science,5.84,Pass,4,4,4,3,2,3,2,1,3,1,0,2,1,0,4,3,5,4,3,4,Software Development; Web Development,Software Developer
B.Sc Information Technology,Web Technologies,6.98,Second Class,2,0,0,4,1,0,3,2,3,3,0,2,0,0,2,4,4,2,2,5,Data Analysis; Database Management,Data Analyst
B.Sc Computer Science,Web Technologies,7.56,First Class,3,2,3,1,2,2,1,1,2,2,0,3,5,5,3,3,5,3,3,5,Cybersecurity; Cloud Computing; Database Management,Cybersecurity Analyst
B.Sc Information Technology,Data Science,8.44,First Class,4,1,1,4,1,0,4,4,4,2,0,2,1,0,2,3,3,3,2,5,Data Analysis; Database Management; Data Science,Data Analyst
B.Sc Computer Science,Web Technologies,7.61,First Class,3,1,0,4,1,1,5,4,4,2,0,0,0,1,2,4,5,3,2,4,Data Analysis; Database Management,Data Analyst
B.Sc Computer Science,Web Technologies,8.07,First Class,3,3,0,3,5,5,2,2,0,0,0,2,2,2,4,3,4,4,2,2,Web Development; Software Development; Cloud Computing,Web Developer
B.Sc Information Technology,Web Technologies,7.82,First Class,3,2,0,2,1,0,0,0,1,1,0,4,4,1,4,3,4,4,3,3,Cloud Computing; Data Science; Web Development,Cloud Engineer
BCA,Web Technologies,7.3,First Class,2,1,3,3,3,1,1,1,2,1,0,4,5,5,2,3,5,3,3,4,Cybersecurity; Cloud Computing; Artificial Intelligence,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,7.63,First Class,2,4,2,3,2,2,1,0,2,0,0,3,2,2,4,2,5,4,4,5,Software Development; Data Science,Software Developer
B.Sc Information Technology,Information Technology,7.17,First Class,1,1,3,3,2,3,1,1,2,1,0,3,5,4,2,2,5,3,3,5,Cybersecurity; Cloud Computing; Data Science,Cybersecurity Analyst
B.Sc Computer Science,Information Technology,6.29,Second Class,5,2,3,3,1,4,1,1,1,0,0,2,2,1,4,3,5,4,2,4,Software Development,Software Developer
B.Sc Information Technology,Software Engineering,7.91,First Class,5,2,0,2,1,1,3,2,5,4,3,1,0,1,3,5,5,2,2,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Cloud & Security,7.68,First Class,3,4,4,3,2,3,1,0,2,1,0,2,2,1,4,4,5,3,2,5,Software Development,Software Developer
B.Sc Computer Science,Data Science,7.49,First Class,5,2,3,4,0,2,2,2,5,4,4,4,1,1,3,3,4,4,2,5,Machine Learning; Artificial Intelligence; Data Science; Web Development,Machine Learning Engineer
B.Sc Information Technology,Web Technologies,7.58,First Class,2,2,1,4,5,5,1,2,1,0,1,2,2,2,4,4,3,5,1,3,Web Development; Software Development,Web Developer
B.Sc Information Technology,Software Engineering,6.03,Second Class,4,2,1,2,0,2,1,0,2,1,0,4,2,3,4,3,4,4,3,5,Cloud Computing; Data Science,Cloud Engineer
B.Sc Information Technology,Web Technologies,8.88,Distinction,1,1,1,4,0,1,4,4,3,1,0,3,1,0,1,4,3,3,3,5,Data Analysis; Database Management; Data Science,Data Analyst
B.Sc Computer Science,Software Engineering,5.86,Pass,3,2,3,3,2,3,1,1,3,1,0,3,5,5,2,3,5,3,3,5,Cybersecurity; Cloud Computing; Artificial Intelligence,Cybersecurity Analyst
B.Sc Information Technology,Software Engineering,6.91,Second Class,4,3,3,3,3,2,0,0,2,1,0,2,2,3,2,2,4,5,3,4,Software Development,Software Developer
B.Sc Information Technology,Web Technologies,8.4,First Class,3,2,0,4,2,1,4,4,4,3,0,1,0,1,2,5,4,3,1,5,Data Analysis; Database Management; Data Science,Data Analyst
B.Sc Computer Science,Information Technology,7.53,First Class,3,5,4,1,1,3,1,0,1,2,0,2,2,2,4,3,5,4,3,5,Software Development; Artificial Intelligence,Software Developer
B.Sc Information Technology,Web Technologies,8.23,First Class,3,1,0,3,5,5,1,0,1,0,0,2,2,2,4,3,3,5,2,4,Web Development; Software Development,Web Developer
B.Sc Information Technology,Data Science,6.01,Second Class,5,3,3,3,0,3,0,1,4,4,5,3,1,2,4,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity,Machine Learning Engineer
B.Sc Information Technology,Information Technology,7.3,First Class,5,3,3,4,1,3,2,3,5,3,5,3,0,2,4,4,5,4,2,5,Machine Learning; Artificial Intelligence; Data Science; Web Development,Machine Learning Engineer
B.Sc Information Technology,Data Science,6.79,Second Class,4,4,4,3,2,2,1,0,2,0,0,2,0,1,4,3,5,4,2,4,Software Development,Software Developer
B.Sc Information Technology,Information Technology,6.9,Second Class,1,1,1,4,2,1,4,1,1,1,0,3,3,3,2,3,4,3,3,5,Database Management; Software Development; Web Development,Database Administrator
B.Sc Information Technology,Information Technology,7.63,First Class,2,2,1,4,1,1,4,1,2,0,0,4,3,2,2,3,4,4,3,5,Database Management; Cloud Computing,Database Administrator
B.Sc Information Technology,Cloud & Security,7.94,First Class,3,2,4,2,1,2,1,1,2,0,0,2,2,1,2,4,5,3,2,5,Software Development; Cybersecurity,Software Developer
B.Sc Information Technology,Software Engineering,8.14,First Class,2,2,2,1,5,5,1,0,2,1,0,0,2,0,3,3,4,4,2,3,Web Development; Software Development; Cloud Computing; Data Science,Web Developer
B.Sc Information Technology,Cloud & Security,7.37,First Class,2,2,1,2,1,3,0,1,0,1,0,5,4,3,3,3,5,3,4,3,Cloud Computing; Machine Learning; Data Science,Cloud Engineer
B.Sc Information Technology,Information Technology,8.45,First Class,5,3,3,4,1,0,2,1,3,4,5,4,2,1,3,4,5,5,2,5,Machine Learning; Artificial Intelligence; Data Science; Data Analysis,Machine Learning Engineer
B.Sc Information Technology,Data Science,7.07,First Class,5,2,2,4,2,1,2,3,5,5,5,3,3,3,4,4,4,4,3,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Information Technology,Data Science,7.63,First Class,3,3,3,3,2,3,0,1,0,1,0,3,2,2,3,3,5,3,3,5,Software Development; Cybersecurity; Web Development,Software Developer
BCA,Software Engineering,6.96,Second Class,3,0,2,4,1,2,3,3,3,1,0,3,3,3,3,3,5,3,2,4,Database Management; Cloud Computing,Database Administrator
B.Sc Information Technology,Software Engineering,8.8,Distinction,4,4,4,1,1,2,0,1,0,1,0,2,2,1,5,2,5,5,3,4,Software Development; Machine Learning,Software Developer
B.Sc Computer Science,Information Technology,7.45,First Class,5,2,2,3,0,0,2,4,3,3,3,2,0,1,4,3,5,3,2,5,Data Science; Artificial Intelligence; Machine Learning; Web Development,Data Scientist
B.Sc Information Technology,Data Science,7.81,First Class,5,3,2,3,2,3,1,1,3,5,5,4,2,2,3,4,5,3,3,5,Machine Learning; Artificial Intelligence; Data Science; Software Development,Machine Learning Engineer
B.Sc Information Technology,Web Technologies,6.31,Second Class,3,0,1,4,1,1,3,2,3,5,4,3,1,1,3,4,4,2,3,5,Data Science; Artificial Intelligence; Machine Learning; Software Development; Cloud Computing,Data Scientist
B.Sc Information Technology,Cloud & Security,8.26,First Class,2,2,0,4,1,2,3,4,4,2,0,3,2,1,2,5,4,2,2,5,Data Analysis; Database Management; Web Development,Data Analyst
B.Sc Information Technology,Information Technology,8.5,Distinction,5,4,5,4,2,3,1,1,0,1,0,2,3,2,3,4,5,4,3,4,Software Development; Machine Learning; Cloud Computing,Software Developer
B.Sc Computer Science,Information Technology,7.92,First Class,2,2,0,4,2,0,2,2,3,1,1,3,2,3,3,3,4,3,3,4,Database Management; Cybersecurity,Database Administrator
B.Sc Computer Science,Cloud & Security,7.83,First Class,2,0,0,4,1,0,4,4,3,2,0,2,0,2,2,3,3,4,2,5,Data Analysis; Database Management; Cybersecurity; Web Development,Data Analyst
B.Sc Information Technology,Software Engineering,6.86,Second Class,2,1,0,2,2,2,1,2,1,2,0,5,4,2,2,3,4,5,3,5,Cloud Computing; Cybersecurity,Cloud Engineer
B.Sc Information Technology,Information Technology,6.18,Second Class,0,3,1,5,2,1,1,1,3,2,0,3,2,4,2,2,4,3,4,3,Database Management,Database Administrator
B.Sc Information Technology,Data Science,8.18,First Class,5,3,3,4,1,0,2,0,3,5,5,3,1,2,3,4,5,5,3,5,Machine Learning; Artificial Intelligence; Data Science; Cloud Computing,Machine Learning Engineer
B.Sc Information Technology,Information Technology,6.8,Second Class,4,3,4,3,1,4,1,1,2,0,0,2,2,2,2,2,4,5,2,3,Software Development; Cybersecurity; Database Management,Software Developer
B.Sc Information Technology,Web Technologies,7.74,First Class,3,2,1,3,1,1,1,1,0,1,0,5,5,2,2,3,3,4,3,5,Cloud Computing; Cybersecurity; Data Science,Cloud Engineer
BCA,Software Engineering,6.32,Second Class,3,2,2,4,1,0,3,2,2,0,0,3,3,3,2,3,5,3,3,4,Database Management; Web Development; Cloud Computing,Database Administrator
B.Sc Computer Science,Software Engineering,7.01,First Class,1,3,2,3,4,5,1,1,0,0,1,1,2,2,4,3,4,4,2,3,Web Development; Software Development; Cloud Computing; Machine Learning,Web Developer
B.Sc Information Technology,Cloud & Security,7.19,First Class,3,0,1,3,1,1,3,2,4,3,0,2,1,1,2,4,4,3,3,4,Data Analysis; Database Management; Software Development,Data Analyst
B.Sc Computer Science,Data Science,6.5,Second Class,4,3,2,3,1,2,0,1,0,1,1,4,2,3,4,3,4,5,2,4,Cloud Computing; Data Analysis,Cloud Engineer
B.Sc Information Technology,Information Technology,7.14,First Class,2,3,1,3,3,4,1,1,0,1,0,2,1,2,4,2,4,4,3,3,Web Development; Software Development,Web Developer
B.Sc Information Technology,Information Technology,7.34,First Class,5,1,2,4,2,2,1,3,4,5,5,2,2,3,3,3,4,5,3,5,Machine Learning; Artificial Intelligence; Data Science; Software Development,Machine Learning Engineer
B.Sc Information Technology,Data Science,8.1,First Class,5,1,0,3,0,0,4,3,5,3,3,3,1,1,4,4,5,3,4,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
B.Sc Information Technology,Software Engineering,7.66,First Class,3,1,0,4,1,1,5,5,5,2,0,2,2,0,2,3,4,3,2,4,Data Analysis; Database Management; Cloud Computing,Data Analyst
B.Sc Information Technology,Software Engineering,6.3,Second Class,4,4,3,3,2,1,2,1,3,1,0,2,2,3,3,4,5,4,4,4,Software Development; Cybersecurity; Web Development,Software Developer
B.Sc Information Technology,Cloud & Security,5.68,Pass,2,2,0,2,4,5,1,0,0,1,0,3,2,2,4,3,5,4,2,3,Web Development; Software Development; Data Analysis,Web Developer
B.Sc Information Technology,Software Engineering,5.61,Pass,3,0,0,4,1,1,5,4,3,2,0,2,1,1,2,4,5,3,1,5,Data Analysis; Database Management; Cloud Computing,Data Analyst
B.Sc Information Technology,Web Technologies,8.56,Distinction,5,0,0,4,0,1,3,2,5,5,3,3,1,1,5,4,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
B.Sc Information Technology,Data Science,8.96,Distinction,3,0,0,3,0,0,3,4,4,2,0,3,1,1,3,5,4,3,3,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Cloud & Security,6.59,Second Class,4,1,0,3,2,1,3,3,4,1,1,2,0,1,2,4,3,2,2,5,Data Analysis; Database Management; Machine Learning,Data Analyst
B.Sc Information Technology,Data Science,6.43,Second Class,3,2,0,1,1,2,0,2,1,1,0,4,4,2,2,3,3,4,3,3,Cloud Computing,Cloud Engineer
B.Sc Information Technology,Information Technology,6.96,Second Class,1,1,0,5,1,1,3,2,2,0,0,3,3,3,3,3,5,3,2,4,Database Management; Web Development,Database Administrator
B.Sc Information Technology,Information Technology,7.08,First Class,2,1,1,5,0,1,4,2,1,1,0,1,2,2,2,3,4,3,4,4,Database Management; Cloud Computing; Data Science,Database Administrator
B.Sc Information Technology,Cloud & Security,6.86,Second Class,3,2,3,3,1,2,2,2,2,1,0,2,4,5,3,3,4,3,2,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,7.67,First Class,4,4,4,3,2,4,1,0,2,0,0,1,2,2,3,4,5,4,3,5,Software Development,Software Developer
B.Sc Information Technology,Information Technology,8.07,First Class,5,3,2,2,0,2,2,1,5,3,4,4,2,3,4,2,5,5,4,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
